,STATION,Day of Week,ENTRIES
467,40 ST LOWERY ST,5,4913.758620689655
468,40 ST LOWERY ST,6,3718.7758620689656
469,42 ST-BRYANT PK,0,37451.32203389831
470,42 ST-BRYANT PK,1,38565.601694915254
471,42 ST-BRYANT PK,2,39160.27118644068
472,42 ST-BRYANT PK,3,39471.879310344826
473,42 ST-BRYANT PK,4,37308.6724137931
474,42 ST-BRYANT PK,5,12847.033898305084
475,42 ST-BRYANT PK,6,9658.07627118644
476,42 ST-PORT AUTH,0,88292.38983050847
477,42 ST-PORT AUTH,1,93804.13559322034
478,42 ST-PORT AUTH,2,94592.86440677966
479,42 ST-PORT AUTH,3,95337.86440677966
480,42 ST-PORT AUTH,4,90237.34745762713
481,42 ST-PORT AUTH,5,54337.627118644064
482,42 ST-PORT AUTH,6,45984.8813559322
483,45 ST,0,6751.3050847457625
484,45 ST,1,7170.8983050847455
485,45 ST,2,7339.949152542373
486,45 ST,3,7287.338983050848
487,45 ST,4,7223.71186440678
488,45 ST,5,4546.610169491525
489,45 ST,6,3586.762711864407
490,46 ST,0,7573.203389830508
491,46 ST,1,8210.92372881356
492,46 ST,2,8472.093220338984
493,46 ST,3,8467.661016949152
494,46 ST,4,8258.516949152543
495,46 ST,5,4537.313559322034
496,46 ST,6,3461.084745762712
497,46 ST BLISS ST,0,11256.448275862069
498,46 ST BLISS ST,1,11919.793103448275
499,46 ST BLISS ST,2,12223.5
500,46 ST BLISS ST,3,12219.155172413793
501,46 ST BLISS ST,4,12279.689655172413
502,46 ST BLISS ST,5,7600.836206896552
503,46 ST BLISS ST,6,5611.482758620689
504,47-50 STS ROCK,0,51389.28813559322
505,47-50 STS ROCK,1,56583.79661016949
506,47-50 STS ROCK,2,56920.0593220339
507,47-50 STS ROCK,3,57911.4406779661
508,47-50 STS ROCK,4,54408.686440677964
509,47-50 STS ROCK,5,16620.13559322034
510,47-50 STS ROCK,6,12978.940677966102
511,49 ST,0,19132.77966101695
512,49 ST,1,20993.07627118644
513,49 ST,2,22138.949152542373
514,49 ST,3,21942.338983050846
515,49 ST,4,21480.15254237288
516,49 ST,5,12096.686440677966
517,49 ST,6,10425.610169491525
518,4AV-9 ST,0,7879.3050847457625
519,4AV-9 ST,1,8550.830508474577
520,4AV-9 ST,2,8701.322033898305
521,4AV-9 ST,3,8791.21186440678
522,4AV-9 ST,4,8391.271186440677
523,4AV-9 ST,5,4659.28813559322
524,4AV-9 ST,6,3653.593220338983
525,5 AV/53 ST,0,24582.06779661017
526,5 AV/53 ST,1,27509.627118644068
527,5 AV/53 ST,2,27397.15254237288
528,5 AV/53 ST,3,27842.01694915254
529,5 AV/53 ST,4,26586.084745762713
530,5 AV/53 ST,5,6422.135593220339
531,5 AV/53 ST,6,5143.703389830508
532,5 AV/59 ST,0,14374.161016949152
533,5 AV/59 ST,1,15963.0
534,5 AV/59 ST,2,15861.889830508475
535,5 AV/59 ST,3,16488.35593220339
536,5 AV/59 ST,4,17232.322033898305
537,5 AV/59 ST,5,8995.016949152543
538,5 AV/59 ST,6,8576.101694915254
539,5 AVE,0,10627.236842105263
540,5 AVE,1,11807.21052631579
541,5 AVE,2,11954.666666666666
542,5 AVE,3,12019.157894736842
543,5 AVE,4,11150.561403508771
544,5 AVE,5,4496.060344827586
545,5 AVE,6,3168.9913793103447
546,50 ST,0,39328.20338983051
547,50 ST,1,41920.06779661017
548,50 ST,2,44277.9406779661
549,50 ST,3,44780.372881355936
550,50 ST,4,43568.457627118645
551,50 ST,5,24032.610169491527
552,50 ST,6,21579.22033898305
553,51 ST,0,17745.224137931036
554,51 ST,1,19428.224137931036
555,51 ST,2,20004.48275862069
556,51 ST,3,20233.810344827587
557,51 ST,4,19195.603448275862
558,51 ST,5,7860.431034482759
559,51 ST,6,6357.862068965517
560,52 ST,0,5071.275862068966
561,52 ST,1,5414.9051724137935
562,52 ST,2,5519.706896551724
563,52 ST,3,5472.75
564,52 ST,4,5510.30701754386
565,52 ST,5,3221.310344827586
566,52 ST,6,2462.4827586206898
567,53 ST,0,7571.8983050847455
568,53 ST,1,7909.8983050847455
569,53 ST,2,8139.932203389831
570,53 ST,3,8032.932203389831
571,53 ST,4,7907.745762711865
572,53 ST,5,5034.627118644068
573,53 ST,6,4014.5423728813557
574,55 ST,0,2081.2542372881358
575,55 ST,1,2176.9322033898306
576,55 ST,2,2195.9322033898306
577,55 ST,3,2182.2881355932204
578,55 ST,4,2000.3050847457628
579,55 ST,5,625.7796610169491
580,55 ST,6,883.457627118644
581,57 ST,0,9848.638888888889
582,57 ST,1,10827.642857142857
583,57 ST,2,11657.485714285714
584,57 ST,3,12127.857142857143
585,57 ST,4,11930.371428571429
586,57 ST,5,5461.657142857143
587,57 ST,6,4377.5142857142855
588,57 ST-7 AV,0,30016.305084745763
589,57 ST-7 AV,1,32775.661016949154
590,57 ST-7 AV,2,33278.813559322036
591,57 ST-7 AV,3,33370.69491525424
592,57 ST-7 AV,4,31257.915254237287
593,57 ST-7 AV,5,18966.610169491527
594,57 ST-7 AV,6,15656.550847457627
595,59 ST,0,55395.05084745763
596,59 ST,1,60283.813559322036
597,59 ST,2,60087.34745762712
598,59 ST,3,59509.78813559322
599,59 ST,4,59905.220338983054
600,59 ST,5,33471.49152542373
601,59 ST,6,25537.610169491527
602,59 ST COLUMBUS,0,59703.84745762712
603,59 ST COLUMBUS,1,64361.61016949153
604,59 ST COLUMBUS,2,65370.127118644064
605,59 ST COLUMBUS,3,66198.67796610169
606,59 ST COLUMBUS,4,61499.542372881355
607,59 ST COLUMBUS,5,37684.84745762712
608,59 ST COLUMBUS,6,31492.593220338982
609,6 AV,0,4582.576271186441
610,6 AV,1,4976.779661016949
611,6 AV,2,5117.593220338983
612,6 AV,3,5152.457627118644
613,6 AV,4,5165.372881355932
614,6 AV,5,3205.728813559322
615,6 AV,6,2425.5423728813557
616,61 ST WOODSIDE,0,15027.603448275862
617,61 ST WOODSIDE,1,15617.76724137931
618,61 ST WOODSIDE,2,15969.724137931034
619,61 ST WOODSIDE,3,16073.491228070176
620,61 ST WOODSIDE,4,15887.543859649122
621,61 ST WOODSIDE,5,10137.655172413793
622,61 ST WOODSIDE,6,8120.741379310345
623,63 DR-REGO PARK,0,14111.474576271186
624,63 DR-REGO PARK,1,14837.322033898305
625,63 DR-REGO PARK,2,15212.271186440677
626,63 DR-REGO PARK,3,15154.406779661016
